[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000729s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | SQL: SHOW COLUMNS FROM `think_vote_list` [ RunTime:0.007581s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_template ] --START--
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000721s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000773s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008357s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008449s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000568s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000428s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000320s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000480s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001931s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_end ] --START--
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000459s ]
[ 2014-12-05T17:21:49+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000500s ]
